Ag,Ir,Pd,Pt,Ru,Activity rel. to Pt(111)
0.18,0.32,0.05,0.24,0.21,77%
0.04,0.22,0.25,0.22,0.27,114%
0.20,0.32,0.28,0.07,0.13,153%
0.18,0.21,0.12,0.27,0.22,96%
0.22,0.26,0.12,0.23,0.17,90%
0.80,0.00,0.01,0.00,0.19,31%
0.00,0.02,0.80,0.06,0.12,620%
0.02,0.00,0.80,0.11,0.07,633%
0.00,0.00,0.21,0.79,0.00,40%
0.00,0.00,0.21,0.00,0.79,217%
0.21,0.00,0.79,0.00,0.00,672%
0.21,0.00,0.79,0.00,0.00,657%
0.00,0.79,0.21,0.00,0.00,9%
0.20,0.00,0.80,0.00,0.00,673%
0.45,0.00,0.55,0.00,0.00,623%
0.58,0.00,0.00,0.42,0.00,111%
0.10,0.00,0.10,0.00,0.80,115%
0.43,0.00,0.57,0.00,0.00,605%
0.00,0.20,0.80,0.00,0.00,485%
0.00,0.00,0.79,0.00,0.21,693%
0.00,0.00,0.79,0.00,0.21,680%
0.00,0.00,0.79,0.21,0.00,534%
0.00,0.00,0.80,0.20,0.00,566%
0.00,0.00,0.68,0.00,0.32,524%
0.44,0.00,0.56,0.00,0.00,599%
0.80,0.20,0.00,0.00,0.00,5%
0.21,0.00,0.79,0.00,0.00,649%
0.41,0.00,0.59,0.00,0.00,622%
0.00,0.00,0.66,0.34,0.00,337%
0.00,0.00,0.65,0.00,0.35,483%
0.00,0.00,0.00,0.54,0.46,131%
0.00,0.21,0.79,0.00,0.00,446%
0.00,0.49,0.00,0.00,0.51,0%
0.22,0.00,0.47,0.00,0.31,375%
0.03,0.00,0.17,0.80,0.00,30%
0.00,0.21,0.79,0.00,0.00,452%
0.42,0.00,0.58,0.00,0.00,584%
0.21,0.79,0.00,0.00,0.00,0%
0.44,0.00,0.00,0.00,0.56,2%
0.00,0.48,0.00,0.52,0.00,418%
0.23,0.00,0.49,0.28,0.00,341%
0.00,0.00,0.60,0.00,0.40,415%
0.00,0.51,0.00,0.49,0.00,376%
0.21,0.00,0.00,0.79,0.00,26%
0.00,0.41,0.59,0.00,0.00,193%
0.00,0.00,0.45,0.29,0.26,228%
0.51,0.49,0.00,0.00,0.00,1%
0.00,0.00,0.00,0.21,0.79,36%
0.30,0.00,0.46,0.00,0.24,421%
0.79,0.00,0.21,0.00,0.00,475%
